algorithm;timed out;problem instance;average probability of being unavailable at any given time slot;constraint violation cost;formulation;maximum random cost of being unavailable at any given time slot;number of agents;number of agents per meeting;number of meetings;number of time slots;target probability of being unavailable at any given time slot;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;randomMeetingScheduling_1548911309010;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;257;31;258942;218125;5;0;0
P-DPOP;0;randomMeetingScheduling_1548911309010;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;19853;5422;591214;500595;5;0;0
DPOP;0;randomMeetingScheduling_1548911331409;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911331409;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;42;905;16137;812;1;0;0
DPOP;0;randomMeetingScheduling_1548911332026;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;35;13;3527;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911332026;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;53;1810;34531;2432;2;0;0
DPOP;0;randomMeetingScheduling_1548911332731;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;35;18;4938;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911332731;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;62;2713;48015;2327;2;0;0
DPOP;0;randomMeetingScheduling_1548911333541;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;58;27;12890;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911333541;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;132;3618;89398;14423;3;0;0
DPOP;0;randomMeetingScheduling_1548911334564;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;112;27;46186;34404;4;0;0
P-DPOP;0;randomMeetingScheduling_1548911334564;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1157;4523;5350494;5074616;6;0;0
DPOP;0;randomMeetingScheduling_1548911337057;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;97;24;39370;34402;4;0;0
P-DPOP;0;randomMeetingScheduling_1548911337057;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;44225;5422;152748;63190;4;0;0
DPOP;0;randomMeetingScheduling_1548911382619;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911382619;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;37;905;16221;814;1;0;0
DPOP;0;randomMeetingScheduling_1548911383229;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;27;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911383229;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;50;1810;32528;812;1;0;0
DPOP;0;randomMeetingScheduling_1548911383909;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;32;18;4940;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911383909;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;80;2715;50719;2421;2;0;0
DPOP;0;randomMeetingScheduling_1548911384812;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;41;20;5860;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911384812;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;214;3616;63889;2332;2;0;0
DPOP;0;randomMeetingScheduling_1548911385857;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;75;22;38450;34402;4;0;0
P-DPOP;0;randomMeetingScheduling_1548911385857;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;725;4521;237030;99458;4;0;0
DPOP;0;randomMeetingScheduling_1548911387575;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;314;26;354171;314893;5;0;0
