algorithm;timed out;problem instance;equilibrium type;margin of error;number of disconnected components of the party graph;number of players;party graph average density;party graph max degree;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;partyProblem_1548913792772;pure Nash;0.0;1;5;0.4;3;0;31;40;8622;450;2;0;0
P-DPOP;0;partyProblem_1548913792772;pure Nash;0.0;1;5;0.4;3;0;58;7236;120600;790;4;0;0
DPOP;0;partyProblem_1548913793777;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10768;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913793777;pure Nash;0.0;1;6;0.3333333333333333;3;0;66;9046;150301;689;4;infinity;infinity
DPOP;0;partyProblem_1548913795059;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;63;13409;450;2;0;0
P-DPOP;0;partyProblem_1548913795059;pure Nash;0.0;1;7;0.2857142857142857;3;0;53;10852;179277;790;4;0;0
DPOP;0;partyProblem_1548913796290;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913796290;pure Nash;0.0;1;2;1.0;1;0;48;1810;30327;538;2;0;0
DPOP;0;partyProblem_1548913796972;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913796972;pure Nash;0.0;1;3;0.6666666666666666;2;0;49;3616;59064;642;2;0;0
DPOP;0;partyProblem_1548913797771;pure Nash;0.0;1;4;0.5;2;0;38;30;6452;450;2;0;0
P-DPOP;0;partyProblem_1548913797771;pure Nash;0.0;1;4;0.5;2;0;47;5426;89391;642;3;0;0
DPOP;0;partyProblem_1548913798676;pure Nash;0.0;1;5;0.4;3;0;35;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913798676;pure Nash;0.0;1;5;0.4;3;0;54;7234;119379;642;3;0;0
DPOP;0;partyProblem_1548913799747;pure Nash;0.0;1;6;0.3333333333333333;3;0;37;50;10774;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913799747;pure Nash;0.0;1;6;0.3333333333333333;3;0;70;9042;148908;689;4;infinity;infinity
DPOP;0;partyProblem_1548913800897;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;64;13585;450;3;0;0
P-DPOP;0;partyProblem_1548913800897;pure Nash;0.0;1;7;0.2857142857142857;3;0;68;10848;177474;642;2;0;0
DPOP;0;partyProblem_1548913802114;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913802114;pure Nash;0.0;1;2;1.0;1;0;46;1810;30250;538;2;0;0
DPOP;0;partyProblem_1548913802814;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913802814;pure Nash;0.0;1;3;0.6666666666666666;2;0;55;3618;59981;642;3;infinity;infinity
DPOP;0;partyProblem_1548913803635;pure Nash;0.0;1;4;0.5;2;0;30;30;6452;450;2;0;0
P-DPOP;0;partyProblem_1548913803635;pure Nash;0.0;1;4;0.5;2;0;51;5426;89751;642;3;0;0
DPOP;0;partyProblem_1548913804557;pure Nash;0.0;1;5;0.4;3;0;34;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913804557;pure Nash;0.0;1;5;0.4;3;0;62;7234;119611;790;4;0;0
DPOP;0;partyProblem_1548913805719;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548913805719;pure Nash;0.0;1;6;0.3333333333333333;3;0;51;9046;151736;790;4;0;0
DPOP;0;partyProblem_1548913806813;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;63;13417;450;2;0;0
P-DPOP;0;partyProblem_1548913806813;pure Nash;0.0;1;7;0.2857142857142857;3;0;63;10854;180730;790;4;0;0
DPOP;0;partyProblem_1548913807957;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913807957;pure Nash;0.0;1;2;1.0;1;0;44;1808;29504;642;2;0;0
DPOP;0;partyProblem_1548913808731;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913808731;pure Nash;0.0;1;3;0.6666666666666666;2;0;56;3616;59193;667;2;0;0
DPOP;0;partyProblem_1548913809582;pure Nash;0.0;1;4;0.5;2;0;31;30;6466;450;2;0;0
P-DPOP;0;partyProblem_1548913809582;pure Nash;0.0;1;4;0.5;2;0;49;5426;89267;642;2;0;0
DPOP;0;partyProblem_1548913810468;pure Nash;0.0;1;5;0.4;3;0;31;40;8606;450;2;0;0
P-DPOP;0;partyProblem_1548913810468;pure Nash;0.0;1;5;0.4;3;0;55;7234;119303;790;4;0;0
DPOP;0;partyProblem_1548913811483;pure Nash;0.0;1;6;0.3333333333333333;3;0;35;50;10782;450;2;0;0
P-DPOP;0;partyProblem_1548913811483;pure Nash;0.0;1;6;0.3333333333333333;3;0;58;9042;149146;666;3;0;0
DPOP;0;partyProblem_1548913812590;pure Nash;0.0;1;7;0.2857142857142857;3;0;37;63;13423;450;2;0;0
P-DPOP;0;partyProblem_1548913812590;pure Nash;0.0;1;7;0.2857142857142857;3;0;74;10852;179481;789;4;0;0
DPOP;0;partyProblem_1548913813952;pure Nash;0.0;1;2;1.0;1;0;28;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548913813952;pure Nash;0.0;1;2;1.0;1;0;43;1810;30319;538;2;0;0
DPOP;0;partyProblem_1548913814637;pure Nash;0.0;1;3;0.6666666666666666;2;0;26;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913814637;pure Nash;0.0;1;3;0.6666666666666666;2;0;47;3618;60166;642;3;0;0
DPOP;0;partyProblem_1548913815447;pure Nash;0.0;1;4;0.5;2;0;38;30;6466;450;2;0;0
P-DPOP;0;partyProblem_1548913815447;pure Nash;0.0;1;4;0.5;2;0;52;5426;89438;642;2;0;0
DPOP;0;partyProblem_1548913816374;pure Nash;0.0;1;5;0.4;3;0;39;40;8624;450;2;0;0
P-DPOP;0;partyProblem_1548913816374;pure Nash;0.0;1;5;0.4;3;0;52;7236;120577;790;4;0;0
DPOP;0;partyProblem_1548913817497;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10780;450;2;0;0
P-DPOP;0;partyProblem_1548913817497;pure Nash;0.0;1;6;0.3333333333333333;3;0;60;9044;150074;814;4;0;0
DPOP;0;partyProblem_1548913818657;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13381;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913818657;pure Nash;0.0;1;7;0.2857142857142857;3;0;61;10848;177076;642;2;infinity;infinity
DPOP;0;partyProblem_1548913819841;pure Nash;0.0;1;2;1.0;1;0;31;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913819841;pure Nash;0.0;1;2;1.0;1;0;43;1808;29494;642;2;0;0
DPOP;0;partyProblem_1548913820620;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913820620;pure Nash;0.0;1;3;0.6666666666666666;2;0;51;3618;60006;642;3;0;0
DPOP;0;partyProblem_1548913821416;pure Nash;0.0;1;4;0.5;2;0;30;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913821416;pure Nash;0.0;1;4;0.5;2;0;54;5426;90083;690;4;0;0
DPOP;0;partyProblem_1548913822355;pure Nash;0.0;1;5;0.4;3;0;34;40;8608;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913822355;pure Nash;0.0;1;5;0.4;3;0;55;7232;118010;642;2;infinity;infinity
DPOP;0;partyProblem_1548913823411;pure Nash;0.0;1;6;0.3333333333333333;3;0;40;51;10840;450;2;0;0
P-DPOP;0;partyProblem_1548913823411;pure Nash;0.0;1;6;0.3333333333333333;3;0;64;9044;150703;790;4;0;0
DPOP;0;partyProblem_1548913824562;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;64;13585;450;3;infinity;infinity
P-DPOP;0;partyProblem_1548913824562;pure Nash;0.0;1;7;0.2857142857142857;3;0;65;10852;179505;790;4;infinity;infinity
DPOP;0;partyProblem_1548913825860;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913825860;pure Nash;0.0;1;2;1.0;1;0;43;1810;30294;537;2;0;0
DPOP;0;partyProblem_1548913826548;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913826548;pure Nash;0.0;1;3;0.6666666666666666;2;0;51;3618;60086;641;3;0;0
DPOP;0;partyProblem_1548913827384;pure Nash;0.0;1;4;0.5;2;0;29;30;6452;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913827384;pure Nash;0.0;1;4;0.5;2;0;45;5428;90529;642;3;infinity;infinity
DPOP;0;partyProblem_1548913828274;pure Nash;0.0;1;5;0.4;3;0;37;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913828274;pure Nash;0.0;1;5;0.4;3;0;52;7234;118945;642;2;0;0
DPOP;0;partyProblem_1548913829376;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;50;10768;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913829376;pure Nash;0.0;1;6;0.3333333333333333;3;0;64;9042;148566;642;3;infinity;infinity
DPOP;0;partyProblem_1548913830479;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;64;13617;450;3;0;0
P-DPOP;0;partyProblem_1548913830479;pure Nash;0.0;1;7;0.2857142857142857;3;0;66;10852;179867;840;4;0;0
DPOP;0;partyProblem_1548913831824;pure Nash;0.0;1;2;1.0;1;0;30;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913831824;pure Nash;0.0;1;2;1.0;1;0;47;1810;30271;538;2;0;0
DPOP;0;partyProblem_1548913832577;pure Nash;0.0;1;3;0.6666666666666666;2;0;26;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913832577;pure Nash;0.0;1;3;0.6666666666666666;2;0;51;3618;59889;641;3;0;0
DPOP;0;partyProblem_1548913833434;pure Nash;0.0;1;4;0.5;2;0;32;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913833434;pure Nash;0.0;1;4;0.5;2;0;48;5428;90532;642;3;0;0
DPOP;0;partyProblem_1548913834322;pure Nash;0.0;1;5;0.4;3;0;34;40;8624;450;2;0;0
P-DPOP;0;partyProblem_1548913834322;pure Nash;0.0;1;5;0.4;3;0;54;7234;119757;790;4;0;0
DPOP;0;partyProblem_1548913835438;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10762;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913835438;pure Nash;0.0;1;6;0.3333333333333333;3;0;54;9044;149950;690;4;infinity;infinity
DPOP;0;partyProblem_1548913836586;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;64;13585;450;3;infinity;infinity
P-DPOP;0;partyProblem_1548913836586;pure Nash;0.0;1;7;0.2857142857142857;3;0;60;10850;178544;790;4;infinity;infinity
DPOP;0;partyProblem_1548913837857;pure Nash;0.0;1;2;1.0;1;0;30;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548913837857;pure Nash;0.0;1;2;1.0;1;0;48;1808;29544;642;2;infinity;infinity
DPOP;0;partyProblem_1548913838545;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913838545;pure Nash;0.0;1;3;0.6666666666666666;2;0;47;3620;60825;629;3;0;0
DPOP;0;partyProblem_1548913839397;pure Nash;0.0;1;4;0.5;2;0;31;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913839397;pure Nash;0.0;1;4;0.5;2;0;48;5424;88357;642;2;0;0
DPOP;0;partyProblem_1548913840319;pure Nash;0.0;1;5;0.4;3;0;30;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913840319;pure Nash;0.0;1;5;0.4;3;0;58;7234;119442;790;4;0;0
DPOP;0;partyProblem_1548913841328;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10784;450;2;0;0
P-DPOP;0;partyProblem_1548913841328;pure Nash;0.0;1;6;0.3333333333333333;3;0;54;9048;152029;790;4;0;0
DPOP;0;partyProblem_1548913842451;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;64;13601;450;3;0;0
P-DPOP;0;partyProblem_1548913842451;pure Nash;0.0;1;7;0.2857142857142857;3;0;69;10850;178408;642;3;0;0
DPOP;0;partyProblem_1548913843720;pure Nash;0.0;1;2;1.0;1;0;31;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548913843720;pure Nash;0.0;1;2;1.0;1;0;43;1810;30335;537;2;0;0
DPOP;0;partyProblem_1548913844399;pure Nash;0.0;1;3;0.6666666666666666;2;0;32;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913844399;pure Nash;0.0;1;3;0.6666666666666666;2;0;49;3620;60834;629;3;0;0
DPOP;0;partyProblem_1548913845201;pure Nash;0.0;1;4;0.5;2;0;31;30;6466;450;2;0;0
P-DPOP;0;partyProblem_1548913845201;pure Nash;0.0;1;4;0.5;2;0;49;5424;88725;667;2;0;0
DPOP;0;partyProblem_1548913846115;pure Nash;0.0;1;5;0.4;3;0;30;40;8612;450;2;0;0
P-DPOP;0;partyProblem_1548913846115;pure Nash;0.0;1;5;0.4;3;0;53;7234;119851;789;4;0;0
DPOP;0;partyProblem_1548913847145;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10766;450;2;0;0
P-DPOP;0;partyProblem_1548913847145;pure Nash;0.0;1;6;0.3333333333333333;3;0;62;9044;150535;971;6;0;0
DPOP;0;partyProblem_1548913848313;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13375;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913848313;pure Nash;0.0;1;7;0.2857142857142857;3;0;66;10850;178006;642;2;infinity;infinity
DPOP;0;partyProblem_1548913849522;pure Nash;0.0;1;2;1.0;1;0;32;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913849522;pure Nash;0.0;1;2;1.0;1;0;52;1810;30309;538;2;0;0
DPOP;0;partyProblem_1548913850239;pure Nash;0.0;1;3;0.6666666666666666;2;0;34;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913850239;pure Nash;0.0;1;3;0.6666666666666666;2;0;53;3618;59834;642;2;0;0
DPOP;0;partyProblem_1548913851104;pure Nash;0.0;1;4;0.5;2;0;32;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913851104;pure Nash;0.0;1;4;0.5;2;0;51;5424;88715;642;2;0;0
DPOP;0;partyProblem_1548913852089;pure Nash;0.0;1;5;0.4;3;0;31;40;8614;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913852089;pure Nash;0.0;1;5;0.4;3;0;53;7234;118665;642;2;infinity;infinity
DPOP;0;partyProblem_1548913853107;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;50;10782;450;2;0;0
P-DPOP;0;partyProblem_1548913853107;pure Nash;0.0;1;6;0.3333333333333333;3;0;60;9042;148344;642;2;0;0
DPOP;0;partyProblem_1548913854175;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;64;13619;450;3;0;0
P-DPOP;0;partyProblem_1548913854175;pure Nash;0.0;1;7;0.2857142857142857;3;0;56;10852;179608;840;4;0;0
DPOP;0;partyProblem_1548913855407;pure Nash;0.0;1;2;1.0;1;0;31;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548913855407;pure Nash;0.0;1;2;1.0;1;0;42;1810;30317;538;2;0;0
DPOP;0;partyProblem_1548913856157;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913856157;pure Nash;0.0;1;3;0.6666666666666666;2;0;63;3618;60293;690;4;0;0
DPOP;0;partyProblem_1548913856992;pure Nash;0.0;1;4;0.5;2;0;36;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913856992;pure Nash;0.0;1;4;0.5;2;0;62;5424;88520;642;2;0;0
DPOP;0;partyProblem_1548913857879;pure Nash;0.0;1;5;0.4;3;0;37;40;8614;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913857879;pure Nash;0.0;1;5;0.4;3;0;53;7232;118144;642;2;infinity;infinity
DPOP;0;partyProblem_1548913859024;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;51;10826;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913859024;pure Nash;0.0;1;6;0.3333333333333333;3;0;59;9044;149547;642;3;infinity;infinity
DPOP;0;partyProblem_1548913860146;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;63;13381;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913860146;pure Nash;0.0;1;7;0.2857142857142857;3;0;57;10852;180276;790;4;infinity;infinity
DPOP;0;partyProblem_1548913861398;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913861398;pure Nash;0.0;1;2;1.0;1;0;45;1808;29558;642;2;0;0
DPOP;0;partyProblem_1548913862083;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4302;450;2;0;0
P-DPOP;0;partyProblem_1548913862083;pure Nash;0.0;1;3;0.6666666666666666;2;0;51;3620;60843;629;3;0;0
DPOP;0;partyProblem_1548913862909;pure Nash;0.0;1;4;0.5;2;0;32;30;6466;450;2;0;0
P-DPOP;0;partyProblem_1548913862909;pure Nash;0.0;1;4;0.5;2;0;53;5426;89734;667;3;0;0
DPOP;0;partyProblem_1548913863924;pure Nash;0.0;1;5;0.4;3;0;35;40;8616;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913863924;pure Nash;0.0;1;5;0.4;3;0;56;7238;122340;891;5;infinity;infinity
DPOP;0;partyProblem_1548913865009;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;50;10774;450;2;0;0
P-DPOP;0;partyProblem_1548913865009;pure Nash;0.0;1;6;0.3333333333333333;3;0;71;9044;151059;1272;6;0;0
DPOP;0;partyProblem_1548913866198;pure Nash;0.0;1;7;0.2857142857142857;3;0;35;63;13405;450;2;0;0
P-DPOP;0;partyProblem_1548913866198;pure Nash;0.0;1;7;0.2857142857142857;3;0;72;10854;181063;790;4;0;0
DPOP;0;partyProblem_1548913867479;pure Nash;0.0;1;2;1.0;1;0;30;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913867479;pure Nash;0.0;1;2;1.0;1;0;48;1810;30352;538;2;0;0
DPOP;0;partyProblem_1548913868183;pure Nash;0.0;1;3;0.6666666666666666;2;0;30;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913868183;pure Nash;0.0;1;3;0.6666666666666666;2;0;61;3620;61041;690;4;0;0
DPOP;0;partyProblem_1548913869027;pure Nash;0.0;1;4;0.5;2;0;38;30;6452;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913869027;pure Nash;0.0;1;4;0.5;2;0;50;5428;90451;642;3;infinity;infinity
DPOP;0;partyProblem_1548913869943;pure Nash;0.0;1;5;0.4;3;0;31;40;8622;450;2;0;0
P-DPOP;0;partyProblem_1548913869943;pure Nash;0.0;1;5;0.4;3;0;52;7236;120139;665;3;0;0
DPOP;0;partyProblem_1548913870960;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10772;450;2;0;0
P-DPOP;0;partyProblem_1548913870960;pure Nash;0.0;1;6;0.3333333333333333;3;0;57;9044;149106;642;3;0;0
DPOP;0;partyProblem_1548913872078;pure Nash;0.0;1;7;0.2857142857142857;3;0;37;64;13619;450;3;0;0
P-DPOP;0;partyProblem_1548913872078;pure Nash;0.0;1;7;0.2857142857142857;3;0;72;10850;178537;790;4;0;0
DPOP;0;partyProblem_1548913873366;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913873366;pure Nash;0.0;1;2;1.0;1;0;43;1810;30394;538;2;0;0
DPOP;0;partyProblem_1548913874046;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913874046;pure Nash;0.0;1;3;0.6666666666666666;2;0;47;3618;60097;641;3;0;0
DPOP;0;partyProblem_1548913874830;pure Nash;0.0;1;4;0.5;2;0;31;30;6468;450;2;0;0
P-DPOP;0;partyProblem_1548913874830;pure Nash;0.0;1;4;0.5;2;0;48;5424;88641;667;2;0;0
DPOP;0;partyProblem_1548913875801;pure Nash;0.0;1;5;0.4;3;0;36;40;8608;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913875801;pure Nash;0.0;1;5;0.4;3;0;69;7238;123257;1611;7;infinity;infinity
DPOP;0;partyProblem_1548913876955;pure Nash;0.0;1;6;0.3333333333333333;3;0;36;50;10762;450;2;0;0
P-DPOP;0;partyProblem_1548913876955;pure Nash;0.0;1;6;0.3333333333333333;3;0;63;9042;148781;690;4;0;0
DPOP;0;partyProblem_1548913878108;pure Nash;0.0;1;7;0.2857142857142857;3;0;44;63;13397;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913878108;pure Nash;0.0;1;7;0.2857142857142857;3;0;55;10854;181872;1072;6;infinity;infinity
DPOP;0;partyProblem_1548913879453;pure Nash;0.0;1;2;1.0;1;0;31;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913879453;pure Nash;0.0;1;2;1.0;1;0;50;1808;29557;642;2;0;0
DPOP;0;partyProblem_1548913880154;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913880154;pure Nash;0.0;1;3;0.6666666666666666;2;0;62;3618;59778;640;2;0;0
DPOP;0;partyProblem_1548913881035;pure Nash;0.0;1;4;0.5;2;0;31;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913881035;pure Nash;0.0;1;4;0.5;2;0;46;5426;89354;642;2;0;0
DPOP;0;partyProblem_1548913881995;pure Nash;0.0;1;5;0.4;3;0;37;40;8610;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913881995;pure Nash;0.0;1;5;0.4;3;0;57;7236;120586;790;4;infinity;infinity
DPOP;0;partyProblem_1548913883094;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10760;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913883094;pure Nash;0.0;1;6;0.3333333333333333;3;0;65;9040;147148;642;2;infinity;infinity
DPOP;0;partyProblem_1548913884243;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;64;13603;450;3;0;0
P-DPOP;0;partyProblem_1548913884243;pure Nash;0.0;1;7;0.2857142857142857;3;0;54;10850;178978;789;4;0;0
DPOP;0;partyProblem_1548913885530;pure Nash;0.0;1;2;1.0;1;0;30;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913885530;pure Nash;0.0;1;2;1.0;1;0;48;1808;29508;642;2;0;0
DPOP;0;partyProblem_1548913886221;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913886221;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3618;59802;642;2;infinity;infinity
DPOP;0;partyProblem_1548913887114;pure Nash;0.0;1;4;0.5;2;0;33;30;6458;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913887114;pure Nash;0.0;1;4;0.5;2;0;51;5426;89720;690;4;infinity;infinity
DPOP;0;partyProblem_1548913888043;pure Nash;0.0;1;5;0.4;3;0;43;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913888043;pure Nash;0.0;1;5;0.4;3;0;51;7234;118914;642;2;0;0
DPOP;0;partyProblem_1548913889157;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548913889157;pure Nash;0.0;1;6;0.3333333333333333;3;0;72;9042;148182;666;2;0;0
DPOP;0;partyProblem_1548913890409;pure Nash;0.0;1;7;0.2857142857142857;3;0;36;63;13381;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913890409;pure Nash;0.0;1;7;0.2857142857142857;3;0;68;10850;178425;642;3;infinity;infinity
DPOP;0;partyProblem_1548913891650;pure Nash;0.0;1;2;1.0;1;0;30;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548913891650;pure Nash;0.0;1;2;1.0;1;0;49;1808;29568;642;2;0;0
DPOP;0;partyProblem_1548913892346;pure Nash;0.0;1;3;0.6666666666666666;2;0;31;20;4302;450;2;0;0
P-DPOP;0;partyProblem_1548913892346;pure Nash;0.0;1;3;0.6666666666666666;2;0;53;3616;58983;642;2;0;0
DPOP;0;partyProblem_1548913893171;pure Nash;0.0;1;4;0.5;2;0;34;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913893171;pure Nash;0.0;1;4;0.5;2;0;53;5428;90543;642;3;0;0
DPOP;0;partyProblem_1548913894061;pure Nash;0.0;1;5;0.4;3;0;31;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913894061;pure Nash;0.0;1;5;0.4;3;0;52;7236;120489;790;4;0;0
DPOP;0;partyProblem_1548913895071;pure Nash;0.0;1;6;0.3333333333333333;3;0;37;50;10770;450;2;0;0
P-DPOP;0;partyProblem_1548913895071;pure Nash;0.0;1;6;0.3333333333333333;3;0;57;9044;149410;642;3;0;0
DPOP;0;partyProblem_1548913896169;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13417;450;2;0;0
P-DPOP;0;partyProblem_1548913896169;pure Nash;0.0;1;7;0.2857142857142857;3;0;71;10854;181621;1172;6;0;0
DPOP;0;partyProblem_1548913897414;pure Nash;0.0;1;2;1.0;1;0;30;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913897414;pure Nash;0.0;1;2;1.0;1;0;46;1808;29508;641;2;0;0
DPOP;0;partyProblem_1548913898098;pure Nash;0.0;1;3;0.6666666666666666;2;0;30;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913898098;pure Nash;0.0;1;3;0.6666666666666666;2;0;55;3620;61079;629;3;0;0
DPOP;0;partyProblem_1548913898973;pure Nash;0.0;1;4;0.5;2;0;32;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913898973;pure Nash;0.0;1;4;0.5;2;0;52;5424;88535;642;2;0;0
DPOP;0;partyProblem_1548913899929;pure Nash;0.0;1;5;0.4;3;0;34;40;8622;450;2;0;0
P-DPOP;0;partyProblem_1548913899929;pure Nash;0.0;1;5;0.4;3;0;73;7234;119575;840;4;0;0
DPOP;0;partyProblem_1548913901018;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;50;10768;450;2;0;0
P-DPOP;0;partyProblem_1548913901018;pure Nash;0.0;1;6;0.3333333333333333;3;0;70;9046;152511;1271;6;0;0
DPOP;0;partyProblem_1548913902191;pure Nash;0.0;1;7;0.2857142857142857;3;0;40;63;13437;450;2;0;0
P-DPOP;0;partyProblem_1548913902191;pure Nash;0.0;1;7;0.2857142857142857;3;0;55;10848;177457;667;2;0;0
DPOP;0;partyProblem_1548913903478;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913903478;pure Nash;0.0;1;2;1.0;1;0;50;1808;29447;642;2;0;0
DPOP;0;partyProblem_1548913904203;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913904203;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3616;59078;641;2;0;0
DPOP;0;partyProblem_1548913905012;pure Nash;0.0;1;4;0.5;2;0;33;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913905012;pure Nash;0.0;1;4;0.5;2;0;51;5426;89682;642;2;0;0
