algorithm;timed out;problem instance;equilibrium type;margin of error;number of disconnected components of the party graph;number of players;party graph average density;party graph max degree;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;partyProblem_1548913607403;pure Nash;0.0;1;6;0.3333333333333333;3;0;36;50;10784;450;2;0;0
P-DPOP;0;partyProblem_1548913607403;pure Nash;0.0;1;6;0.3333333333333333;3;0;56;9046;152387;1272;6;0;0
DPOP;0;partyProblem_1548913608644;pure Nash;0.0;1;7;0.2857142857142857;3;0;42;64;13549;450;3;infinity;infinity
P-DPOP;0;partyProblem_1548913608644;pure Nash;0.0;1;7;0.2857142857142857;3;0;73;10852;181182;1272;6;infinity;infinity
DPOP;0;partyProblem_1548913609982;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913609982;pure Nash;0.0;1;2;1.0;1;0;44;1810;30347;538;2;0;0
DPOP;0;partyProblem_1548913610680;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913610680;pure Nash;0.0;1;3;0.6666666666666666;2;0;61;3616;58995;642;2;0;0
DPOP;0;partyProblem_1548913611529;pure Nash;0.0;1;4;0.5;2;0;34;30;6460;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913611529;pure Nash;0.0;1;4;0.5;2;0;46;5428;90923;629;3;infinity;infinity
DPOP;0;partyProblem_1548913612450;pure Nash;0.0;1;5;0.4;3;0;44;40;8616;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913612450;pure Nash;0.0;1;5;0.4;3;0;60;7232;117841;642;2;infinity;infinity
DPOP;0;partyProblem_1548913613610;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;51;10832;450;2;0;0
P-DPOP;0;partyProblem_1548913613610;pure Nash;0.0;1;6;0.3333333333333333;3;0;56;9042;148617;642;3;0;0
DPOP;0;partyProblem_1548913614755;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;64;13603;450;3;0;0
P-DPOP;0;partyProblem_1548913614755;pure Nash;0.0;1;7;0.2857142857142857;3;0;66;10852;179710;790;4;0;0
DPOP;0;partyProblem_1548913616016;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913616016;pure Nash;0.0;1;2;1.0;1;0;42;1810;30501;538;2;0;0
DPOP;0;partyProblem_1548913616776;pure Nash;0.0;1;3;0.6666666666666666;2;0;34;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913616776;pure Nash;0.0;1;3;0.6666666666666666;2;0;56;3618;60215;690;4;0;0
DPOP;0;partyProblem_1548913617598;pure Nash;0.0;1;4;0.5;2;0;39;30;6468;450;2;0;0
P-DPOP;0;partyProblem_1548913617598;pure Nash;0.0;1;4;0.5;2;0;50;5426;89556;642;3;0;0
DPOP;0;partyProblem_1548913618515;pure Nash;0.0;1;5;0.4;3;0;42;40;8608;450;2;0;0
P-DPOP;0;partyProblem_1548913618515;pure Nash;0.0;1;5;0.4;3;0;64;7234;120018;1047;6;0;0
DPOP;0;partyProblem_1548913619637;pure Nash;0.0;1;6;0.3333333333333333;3;0;45;51;10830;450;2;0;0
