algorithm;timed out;problem instance;domain size;max degree;number of disconnected components;number of variables;target density p1;target tightness p2;true average density p1;true average tightness p2;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
AFB;0;randomMaxDisCSP_1548906683707;10;7;2;10;0.4;0.9;0.4;0.8933333333333063;623920;156;40594;4540090;454;0;7;7
DPOP;0;randomMaxDisCSP_1548906683707;10;7;2;10;0.4;0.9;0.4;0.8933333333333063;422100;68;104;81599;40797;4;7;7
AFB;0;randomMaxDisCSP_1548906685862;10;6;1;10;0.4;0.99;0.4;0.9911111111110799;169620;81;16897;1690809;454;0;14;14
DPOP;0;randomMaxDisCSP_1548906685862;10;6;1;10;0.4;0.99;0.4;0.9911111111110799;622100;108;108;122797;40797;4;14;14
AFB;0;randomMaxDisCSP_1548906687294;10;6;2;10;0.4;0.4;0.4;0.3899999999999949;3820;20;5775;162960;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906687294;10;6;2;10;0.4;0.4;0.4;0.3899999999999949;82100;39;104;49468;4573;3;0;0
AFB;0;randomMaxDisCSP_1548906688218;10;6;1;10;0.4;0.5;0.4;0.4872222222222129;6670;21;6165;222757;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906688218;10;6;1;10;0.4;0.5;0.4;0.4872222222222129;336100;74;108;75515;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906689165;10;7;1;10;0.4;0.6;0.4;0.5822222222222088;8220;27;6261;235601;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906689165;10;7;1;10;0.4;0.6;0.4;0.5822222222222088;432100;66;108;75512;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906690137;10;6;1;10;0.4;0.7;0.4;0.6844444444444265;277530;82;18621;1862412;454;0;1;1
DPOP;0;randomMaxDisCSP_1548906690137;10;6;1;10;0.4;0.7;0.4;0.6844444444444265;54100;36;108;42917;4573;3;1;1
AFB;0;randomMaxDisCSP_1548906691621;10;6;1;10;0.4;0.8;0.4;0.8066666666666434;1168590;166;51892;6252629;454;0;3;3
DPOP;0;randomMaxDisCSP_1548906691621;10;6;1;10;0.4;0.8;0.4;0.8066666666666434;62100;43;108;50295;4573;3;3;3
