algorithm;timed out;problem instance;max degree;number of colors;number of disconnected components;number of nodes;number of uncontrollable nodes;target density;target unary tightness;true average density;true average unary tightness;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;graphColoring_1548894581870;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;25;56;14014;475;2;0;0
ADOPT;0;graphColoring_1548894582542;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;33;433;33551;456;0;0;0
DPOP;0;graphColoring_1548894582542;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;30;73;19233;728;3;0;0
ADOPT;0;graphColoring_1548894583306;4;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;-1;0;0;0;0;0;0;infinity
DPOP;0;graphColoring_1548894583306;4;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;29;89;25683;1449;4;0;0
ADOPT;0;graphColoring_1548894584140;6;3;1;10;0;0.4;0.0;0.4;0.0;0;33;1245;78603;456;0;0;0
DPOP;0;graphColoring_1548894584140;6;3;1;10;0;0.4;0.0;0.4;0.0;0;26;108;31540;1305;4;0;0
ADOPT;0;graphColoring_1548894584939;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;14;2184;456;0;0;0
DPOP;0;graphColoring_1548894584939;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;20;8;1897;417;1;0;0
ADOPT;0;graphColoring_1548894585491;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;28;32;4474;456;0;0;0
DPOP;0;graphColoring_1548894585491;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;24;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548894586070;2;3;2;5;0;0.4;0.0;0.4;0.0;0;28;107;10297;456;0;0;0
DPOP;0;graphColoring_1548894586070;2;3;2;5;0;0.4;0.0;0.4;0.0;0;24;29;7162;475;2;0;0
ADOPT;0;graphColoring_1548894586695;3;3;3;6;0;0.4;0.0;0.4;0.0;0;25;338;22512;456;0;infinity;infinity
DPOP;0;graphColoring_1548894586695;3;3;3;6;0;0.4;0.0;0.4;0.0;0;23;41;9990;678;3;infinity;infinity
ADOPT;0;graphColoring_1548894587376;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;22;260;21757;456;0;0;0
DPOP;0;graphColoring_1548894587376;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;27;58;14345;475;2;0;0
ADOPT;0;graphColoring_1548894588037;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;39;614;39489;456;0;0;0
DPOP;0;graphColoring_1548894588037;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;26;73;18672;475;2;0;0
ADOPT;0;graphColoring_1548894588758;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;31;913;56626;456;0;0;0
DPOP;0;graphColoring_1548894588758;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;29;88;23839;728;3;0;0
ADOPT;0;graphColoring_1548894589571;5;3;1;10;0;0.4;0.0;0.4;0.0;-1;0;0;0;0;0;0;infinity
DPOP;0;graphColoring_1548894589571;5;3;1;10;0;0.4;0.0;0.4;0.0;0;27;109;30442;1351;4;0;0
ADOPT;0;graphColoring_1548894590396;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;29;14;2184;456;0;0;0
DPOP;0;graphColoring_1548894590396;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;23;8;1901;417;1;0;0
ADOPT;0;graphColoring_1548894590963;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;32;4474;456;0;0;0
DPOP;0;graphColoring_1548894590963;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;20;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548894591580;3;3;2;5;0;0.4;0.0;0.4;0.0;0;28;80;8991;456;0;0;0
DPOP;0;graphColoring_1548894591580;3;3;2;5;0;0.4;0.0;0.4;0.0;0;23;28;7010;473;2;0;0
ADOPT;0;graphColoring_1548894592188;4;3;1;6;0;0.4;0.0;0.4;0.0;0;21;134;14174;456;0;0;0
DPOP;0;graphColoring_1548894592188;4;3;1;6;0;0.4;0.0;0.4;0.0;0;27;44;10819;473;2;0;0
ADOPT;0;graphColoring_1548894592848;4;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;27;230;19995;456;0;0;0
DPOP;0;graphColoring_1548894592848;4;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;23;52;13419;475;2;0;0
ADOPT;0;graphColoring_1548894593528;4;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;30;455;34238;456;0;0;0
DPOP;0;graphColoring_1548894593528;4;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;23;68;18581;680;3;0;0
ADOPT;0;graphColoring_1548894594284;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;25;1821;91432;456;0;infinity;infinity
DPOP;0;graphColoring_1548894594284;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;29;88;23502;680;3;infinity;infinity
ADOPT;0;graphColoring_1548894595062;5;3;1;10;0;0.4;0.0;0.4;0.0;0;47;6553;314242;456;0;infinity;infinity
DPOP;0;graphColoring_1548894595062;5;3;1;10;0;0.4;0.0;0.4;0.0;0;29;109;31266;1399;4;infinity;infinity
ADOPT;0;graphColoring_1548894596092;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;14;2184;456;0;0;0
DPOP;0;graphColoring_1548894596092;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548894596706;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;32;4474;456;0;0;0
DPOP;0;graphColoring_1548894596706;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;22;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548894597313;3;3;1;5;0;0.4;0.0;0.4;0.0;0;26;80;9466;456;0;0;0
DPOP;0;graphColoring_1548894597313;3;3;1;5;0;0.4;0.0;0.4;0.0;0;25;32;7619;417;1;0;0
ADOPT;0;graphColoring_1548894597934;3;3;1;6;0;0.4;0.0;0.4;0.0;0;22;141;14594;456;0;0;0
DPOP;0;graphColoring_1548894597934;3;3;1;6;0;0.4;0.0;0.4;0.0;0;26;44;10924;473;2;0;0
ADOPT;0;graphColoring_1548894598574;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;28;303;23077;456;0;0;0
DPOP;0;graphColoring_1548894598574;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;29;57;14189;475;2;0;0
ADOPT;0;graphColoring_1548894599310;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;22;526;35494;456;0;0;0
DPOP;0;graphColoring_1548894599310;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;30;72;18740;678;3;0;0
ADOPT;0;graphColoring_1548894600010;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;32;3430;159270;456;0;infinity;infinity
DPOP;0;graphColoring_1548894600010;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;26;89;23822;1159;4;infinity;infinity
ADOPT;0;graphColoring_1548894600846;6;3;2;10;0;0.4;0.0;0.4;0.0;0;38;4912;216308;456;0;infinity;infinity
DPOP;0;graphColoring_1548894600846;6;3;2;10;0;0.4;0.0;0.4;0.0;0;25;105;29225;1161;4;infinity;infinity
ADOPT;0;graphColoring_1548894601838;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;14;2184;456;0;0;0
DPOP;0;graphColoring_1548894601838;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;23;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548894602392;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;25;32;4474;456;0;0;0
DPOP;0;graphColoring_1548894602392;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;20;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548894603015;3;3;2;5;0;0.4;0.0;0.4;0.0;0;27;80;8991;456;0;0;0
DPOP;0;graphColoring_1548894603015;3;3;2;5;0;0.4;0.0;0.4;0.0;0;23;28;7008;473;2;0;0
ADOPT;0;graphColoring_1548894603615;3;3;1;6;0;0.4;0.0;0.4;0.0;0;28;211;17026;456;0;0;0
DPOP;0;graphColoring_1548894603615;3;3;1;6;0;0.4;0.0;0.4;0.0;0;26;45;10874;475;2;0;0
ADOPT;0;graphColoring_1548894604243;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;30;210;19809;456;0;0;0
DPOP;0;graphColoring_1548894604243;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;26;57;14191;475;2;0;0
ADOPT;0;graphColoring_1548894604981;5;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;28;1213;61040;456;0;infinity;infinity
DPOP;0;graphColoring_1548894604981;5;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;28;68;18023;678;3;infinity;infinity
ADOPT;0;graphColoring_1548894605714;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;33;747;49512;456;0;0;0
DPOP;0;graphColoring_1548894605714;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;29;89;23802;728;3;0;0
ADOPT;0;graphColoring_1548894606448;6;3;1;10;0;0.4;0.0;0.4;0.0;0;27;2017;102318;456;0;infinity;infinity
DPOP;0;graphColoring_1548894606448;6;3;1;10;0;0.4;0.0;0.4;0.0;0;29;108;29170;678;3;infinity;infinity
ADOPT;0;graphColoring_1548897756862;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;26;14;2184;456;0;0;0
DPOP;0;graphColoring_1548897756862;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;26;8;1901;417;1;0;0
ADOPT;0;graphColoring_1548897757411;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;19;28;4368;456;0;0;0
DPOP;0;graphColoring_1548897757411;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;16;16;3802;417;1;0;0
ADOPT;0;graphColoring_1548897757990;2;3;1;5;0;0.4;0.0;0.4;0.0;0;25;94;10137;456;0;0;0
DPOP;0;graphColoring_1548897757990;2;3;1;5;0;0.4;0.0;0.4;0.0;0;28;36;7814;417;1;0;0
ADOPT;0;graphColoring_1548903382123;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;168;14;2184;456;0;0;0
DPOP;0;graphColoring_1548903382123;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;25;8;1901;417;1;0;0
ADOPT;0;graphColoring_1548903384132;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;30;32;4474;456;0;0;0
DPOP;0;graphColoring_1548903384132;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548903384714;2;3;1;5;0;0.4;0.0;0.4;0.0;0;24;100;10358;456;0;0;0
DPOP;0;graphColoring_1548903384714;2;3;1;5;0;0.4;0.0;0.4;0.0;0;25;36;7806;417;1;0;0
ADOPT;0;graphColoring_1548903385442;3;3;2;6;0;0.4;0.0;0.4;0.0;0;24;142;14197;456;0;0;0
DPOP;0;graphColoring_1548903385442;3;3;2;6;0;0.4;0.0;0.4;0.0;0;26;40;10321;475;2;0;0
